stop_id,name,mode,lat,lon,betweenness
bus_aCcokpIU,KAVANGARAI,bus,13.17051,80.19954,0.018819976152251252
bus_hFISFuCO,EAST TAMBARAM CONVENT,bus,12.92275,80.13106,0.01869058636910636
bus_qzuHypgA,RETTERI JUNCTION,bus,13.12993,80.21357,0.01865811912984239
bus_TQhrUKrf,POONDI BAZAAR,bus,12.92295,80.12577,0.01857510210013659
bus_vXPGJwVk,RETTERI AMBEDKAR NAGAR,bus,13.12597,80.20683,0.018468481204535127
bus_MmmkWPfy,THIRUMUDIVAKKAM,bus,12.96644,80.10766,0.018452545810973494
bus_twMezfOU,VYASARPADI AMBEDKAR COLLEGE,bus,13.11835,80.25937,0.01836670017510272
bus_IvQQZbJW,ERUKANCHERRY,bus,13.12459,80.24711,0.0183270964131595
bus_1016,M.F.L,bus,12.549663,80.143925,0.018219074990890458
bus_lkujKSJT,VYASARPADI SHARMA NAGAR,bus,13.1205,80.25445,0.01803134473049053
bus_yaKWBgLg,ERUKKANCHERI TOLL GATE,bus,13.12207,80.25101,0.017915860461520758
suburban_ENR_P_1,ENNORE,suburban,13.217914,80.321748,0.01789394351445639
suburban_MCPK_P_2,CHEPAUK,suburban,13.062746,80.280611,0.01786534514640865
suburban_MCPT_P_2,CHINTADARIPET,suburban,13.074676,80.273723,0.017861574368928494
bus_MyzUerZz,PUZHAL CAMP,bus,13.15804,80.20399,0.01779096114094136
bus_WFZVQzrl,GUINDY M K N SALAI,bus,13.00722,80.20983,0.01766684717320599
bus_lOyAoICg,KOLAPAKKAM ANNA NAGAR,bus,12.8714,80.10185,0.017250617378021662
bus_207,VALLALAR NAGAR,bus,12.549663,80.143925,0.016983839654581806
bus_e49dc36f040217a6f60e9fb1fb381467,KUNDRATHUR B.T,bus,12.99742,80.09631,0.016928980308861342
bus_AmahvgQB,UDHYAM THEATER OR ASHOK PILLAR,bus,13.03507,80.21092,0.016667673866907814
bus_9f4acc4466c56eac4be3ec3e857fa768,Kundrathur Lake View Road,bus,13.00818,80.09134,0.016664712809210707
bus_FZfLSowG,VAZHUTHALAMBEDU ROAD JUNCTION,bus,12.96783,80.10263,0.01664311574103853
suburban_AIPP_P_3,ATTIPATTU PUDU NAGAR,suburban,13.2492,80.300049,0.016642469891857057
bus_pzScocJN,MAMBAKKAM,bus,12.82766,80.16496,0.0165821177216069
bus_2b38dac5c0b528ddc3681bbee2300f92,Chikkarayapuram,bus,13.01451,80.09382,0.01654922854024093
bus_khOlLZay,MAMBAKKAM SAMATHUVAPURAM,bus,12.83256,80.15949,0.016466633452637127
bus_e4a7d488361c9ab243e713b3d966ab6d,Malayambakkam Stalin Nagar,bus,13.02901,80.09033,0.016433744271271162
bus_TDvESTZN,MADHAVARAM ROUNTANA,bus,13.14396,80.22016,0.016351510537336564
bus_CDXhVrrJ,KEELAKOTTAIYUR,bus,12.83735,80.15521,0.016351149183667358
bus_EmkugZPX,ANNA NAGAR WEST DEPOT,bus,13.09378,80.19855,0.016338227700580292
bus_TvGyfQSI,KOLATHUR SENTHIL NAGAR,bus,13.12353,80.2021,0.01630063551677861
bus_106,MADURAVOYAL MARKET,bus,12.549663,80.143925,0.01628819912356629
bus_YYKDBDRS,MAMBAKKAM VIT UNIVERSITY,bus,12.84016,80.15287,0.016235664914697585
bus_New369,POONAMALLEE THIDEERKUPPAM(THOPPU),bus,13.03775,80.08713,0.016235493481553204
bus_KCMgfriT,KOLATHUR R.T.O OFFICE,bus,13.13591,80.21657,0.01612054199939702
bus_yHCBRtBd,MELAKOTTAIYUR,bus,12.84567,80.14885,0.016120180645727816
bus_ZijVddwt,PORUR TOLL PLAZA,bus,13.04348,80.14974,0.016112491073697294
bus_25e6b4396f922765ee21590523afeec3,PORUR TOLL PLAZA,bus,13.04317,80.14972,0.016016104305774798
bus_716,AMBEDKAR NAGAR,bus,12.549663,80.143925,0.015811524379818385
bus_RzNLGwXH,PAGULMEDU,bus,13.23781,80.0203,0.015768224938240618
bus_rDSiGFpR,SIMSON OR PERIYAR BRIDGE,bus,13.0705,80.27391,0.01571888823445672
suburban_GI_P_1,GUDUVANCHERI,suburban,12.844676,80.0568,0.015609867138028784
bus_ALhaazBT,PERUNGALATHUR,bus,12.9064,80.09645,0.015427340525199729
bus_AszcEtOu,KOYAMBEDU SCHOOL,bus,13.07393,80.20034,0.015418620003399892
bus_New422,PAZHANTHANDALAM TRAFFIC AID POST,bus,12.96054,80.09005,0.015403511615350626
