route_id,original_route_id,mode,route_short_name,route_long_name,route_type
bus_1096,1096,bus,18R,BROADWAY To NANGANALLUR BUS TERMINUS,3
bus_1097,1097,bus,18R,NANGANALLUR BUS TERMINUS To BROADWAY,3
bus_1106,1106,bus,21G,CEMENT ROAD To BROADWAY,3
bus_1107,1107,bus,45B,GUINDY B.T To BROADWAY,3
bus_1126,1126,bus,45B,ANNA SQUARE To MUGALIVAKKAM MM TEMPLE,3
bus_1127,1127,bus,45BET,MUGALIVAKKAM ELLAYAMMAN TEMPLE 1 To ANNA SQUARE B.T,3
bus_1136,1136,bus,18CT,CEMENT ROAD To TAMBARAM WEST,3
bus_1207,1207,bus,G18,ALANDUR DEPOT To GUINDY TVK ESTATE,3
bus_1214,1214,bus,18N,GUDUVANCHERI BUS TERMINUS To NANGANALLUR BUS TERMINUS,3
bus_1229,1229,bus,M1CT,CEMENT ROAD To KEELKATTALAI,3
bus_1249,1249,bus,M51R,MADIPAKKAM B.T To BROADWAY,3
bus_1251,1251,bus,M51RCT,THYAGARAYA NAGAR To PUZHUTHIVAKKAM,3
bus_1299,1299,bus,119,VELACHERY To SEMMANCHERI BUS STAND,3
bus_1300,1300,bus,14M,MEDAVAKKAM RD.JN To CEMENT ROAD,3
bus_1308,1308,bus,18A,KEELKATTALAI To BROADWAY,3
bus_1309,1309,bus,18A,SAIDAPET To BROADWAY,3
bus_1313,1313,bus,18ACT,KILAMBAKKAM BUS TERMINUS To GUINDY B.T,3
bus_1318,1318,bus,18E,CEMENT ROAD To BROADWAY,3
bus_1319,1319,bus,18E,BROADWAY To RAMAPURAM,3
bus_1322,1322,bus,18G,CEMENT ROAD To BROADWAY,3
bus_1324,1324,bus,18G,BROADWAY To TAMBARAM WEST,3
bus_1326,1326,bus,18G,TAMBARAM WEST To BROADWAY,3
bus_1332,1332,bus,18RX,KEELKATTALAI To BROADWAY,3
bus_1339,1339,bus,18RX,SECRETARIAT To NANGANALLUR,3
bus_1340,1340,bus,18RX,NANGANALLUR To BROADWAY,3
bus_1343,1343,bus,18ACT,BROADWAY To CEMENT ROAD,3
bus_1344,1344,bus,18R,CEMENT ROAD To BROADWAY,3
